scan,band_subset,effective_mu_s_500,power_b,calibration_k,hb_cov,hb_present,bili_mono,bili_range,bili_log2_slope,bili_positive_a1,bili_positive_count,mean_rmse,composite,A1_hb_uM,A1_bili_uM,A2_hb_uM,A2_bili_uM,A3_hb_uM,A3_bili_uM,A4_hb_uM,A4_bili_uM,A5_hb_uM,A5_bili_uM,A6_hb_uM,A6_bili_uM
scattering,2band_blue,0.6919711120500416,1.1357142857142857,1.0,0.08208940625191265,True,0,0.0,0.0,False,0,0.027009471490032272,0.9179105937480874,5.762463867566588,0.0,5.043231105156073,0.0,4.766432698203041,0.0,4.63127052356052,0.0,4.668784671703351,0.0,4.632352968845318,0.0
scattering,2band_blue,0.6919711120500416,1.342857142857143,1.0,0.08235046198490353,True,0,0.0,0.0,False,0,0.02405630483977517,0.9176495380150964,5.835889726415731,0.0,5.1059561807611775,0.0,4.825304160052812,0.0,4.688209256645931,0.0,4.72448599753822,0.0,4.687558332668337,0.0
scattering,2band_blue,0.6919711120500416,1.55,1.0,0.08250293705946496,True,0,0.0,0.0,False,0,0.021076074947444665,0.917497062940535,5.911347871424272,0.0,5.170129745676703,0.0,4.8862229927252665,0.0,4.746686269402508,0.0,4.783910388617844,0.0,4.746256916447291,0.0
scattering,2band_blue,0.6919711120500416,1.7571428571428571,1.0,0.0824013763613027,True,0,0.0,0.0,False,0,0.0180780875880536,0.9175986236386973,5.985085873153295,0.0,5.236570020910195,0.0,4.949589834377756,0.0,4.807541346310418,0.0,4.844455752289659,0.0,4.806161890348979,0.0
scattering,2band_blue,0.6919711120500416,1.9642857142857142,1.0,0.0815991980058688,True,0,0.0,0.0,False,0,0.015086099463034366,0.9184008019941312,6.05018326733657,0.0,5.302383762554079,0.0,5.012380108575971,0.0,4.868433518108762,0.0,4.9078998654325945,0.0,4.86922458527166,0.0
scattering,2band_blue,0.6919711120500416,2.1714285714285713,1.0,0.08005693423339975,True,0,0.0,0.0,False,0,0.012149261741059842,0.9199430657666002,6.105227636579382,0.0,5.362923939633238,0.0,5.0726384826732565,0.0,4.932449079718585,0.0,4.9713889788014,0.0,4.93359233735388,0.0
scattering,2band_blue,0.6919711120500416,2.3785714285714286,1.0,0.07682402097861037,True,0,0.0,0.0,False,0,0.009342150555290155,0.9231759790213896,6.135461898298419,0.0,5.408484012381085,0.0,5.130326694315127,0.0,4.995772883246802,0.0,5.036637630005844,0.0,5.000213316713502,0.0
scattering,2band_blue,0.6919711120500416,2.585714285714286,1.0,0.07209800914627772,True,0,0.0,0.0,False,0,0.006781503054861967,0.9279019908537223,6.131224614782097,0.029246198992969933,5.436278809380199,0.0,5.169465673224676,0.0,5.049337766103258,0.0,5.099006636763529,0.0,5.059553178993897,0.0
scattering,2band_blue,0.6919711120500416,2.7928571428571427,1.0,0.06579285403535577,True,0,0.0,0.0,True,1,0.004579710291928246,1.100873812631311,6.085200585727104,0.3521044749541603,5.437276387910425,0.016788812987621336,5.181792942274124,0.0,5.092448920331153,0.0,5.145203007558545,0.0,5.111484246673468,0.0
scattering,2band_blue,0.6919711120500416,3.0,1.0,0.055992453823822085,True,2,5.389922764462185,-1.2151322999280614,True,3,0.0028258046979603908,3.167867522694335,5.963079969144106,0.6827651993277412,5.398593422828256,0.30485905699562393,5.170941536633997,0.126674393894746,5.11045003379558,0.0,5.17991976358876,0.0,5.149360028997569,0.0
