lambda,extinction_coefficient
780.0,312.583753496772
782.0,309.1624430596397
784.0,305.7785797545998
786.0,302.4317537130582
788.0,299.121559552537
790.0,295.84759632757704
792.0,292.6094674811701
794.0,289.40678079672796
796.0,286.23914835057457
798.0,283.1061864649604
800.0,280.0075156615868
802.0,276.94276061564557
804.0,273.9115501103551
806.0,270.91351699199794
808.0,267.9482981254504
810.0,265.01553435019554
812.0,262.11487043682337
814.0,259.24595504400094
816.0,256.40844067591803
818.0,253.60198364019604
820.0,250.82624400625966
822.0,248.08088556416058
824.0,245.3655757838573
826.0,242.6799857749352
828.0,240.02379024677083
830.0,237.39666746913178
832.0,234.79829923320546
834.0,232.2283708130588
836.0,229.68657092751496
838.0,227.17259170245086
840.0,224.68612863350546
842.0,222.22688054919794
844.0,219.7945495744461
846.0,217.38884109448946
848.0,215.00946371920196
850.0,212.65612924779802
852.0,210.32855263392545
854.0,208.02645195113718
856.0,205.74954835874567
858.0,203.49756606804635
860.0,201.2702323089141
862.0,199.06727729676342
864.0,196.88843419987194
866.0,194.73343910705862
868.0,192.60203099572033
870.0,190.4939517002127
872.0,188.40894588058268
874.0,186.34676099163917
876.0,184.30714725236297
878.0,182.2898576156541
880.0,180.29464773840678
882.0,178.32127595191415
884.0,176.36950323259592
886.0,174.43909317304784
888.0,172.52981195340487
890.0,170.64142831302252
892.0,168.7737135224629
894.0,166.92644135579226
896.0,165.0993880631784
898.0,163.29233234378833
900.0,161.50505531898526
902.0,159.7373405058154
904.0,157.98897379078733
906.0,156.2597434039372
908.0,154.5494398931791
910.0,152.85785609893375
912.0,151.18478712903826
914.0,149.53003033392673
916.0,147.89338528208626
918.0,146.27465373577888
920.0,144.6736396270295
922.0,143.0901490338788
924.0,141.52399015689326
926.0,139.97497329593412
928.0,138.44291082717987
930.0,136.92761718040094
932.0,135.4289088164813
934.0,133.9466042051892
936.0,132.48052380318782
938.0,131.03049003228898
940.0,129.59632725794432
942.0,128.17786176797048
944.0,126.77492175150994
946.0,125.38733727821916
948.0,124.01494027768655
950.0,122.65756451907468
952.0,121.31504559098637
954.0,119.9872208815491
956.0,118.67392955872039
958.0,117.37501255080575
960.0,116.0903125271918
962.0,114.81967387929001
964.0,113.56294270168762
966.0,112.31996677350728
968.0,111.09059553996835
970.0,109.87468009415149
972.0,108.67207315896216
974.0,107.48262906929237
976.0,106.30620375437589
978.0,105.14265472033911
980.0,103.99184103294057
982.0,102.85362330050071
984.0,101.72786365701852
986.0,100.61442574547156
988.0,99.51317470130104
990.0,98.42397713607555
992.0,97.34670112133473
994.0,96.2812161726095
996.0,95.22739323361752
998.0,94.1851046606304
1000.0,93.15422420701418
